,cluster_id,evidence_set,Flan-T5,GPT-OSS,Kimi-k2,Llama4 Maverick,master_topic,analyst_view
10,3,B,openai -lrb,OpenAI Model Transparency Benchmarks,OpenAI Model Transparency,GPT-4o Model by OpenAI,The removal of OpenAI's GPT-4o model and its impact on users,"The cluster revolves around the removal of OpenAI's GPT-4o model and its significant impact on users who relied on it for various purposes, including therapeutic support, creative writing, and workflow continuity. The evidence highlights a strong emotional response from the community, with many users feeling that the new GPT-5 model does not adequately replace the unique qualities of GPT-4o. The topic is highly relevant as it touches on user safety, trust, and the value of model choice."
11,3,C,,Removed models break workflow continuity,,Remove Model Choice,The removal of OpenAI's GPT-4o model and its impact on users,"The cluster revolves around the removal of OpenAI's GPT-4o model and its significant impact on users who relied on it for various purposes, including therapeutic support, creative writing, and workflow continuity. The evidence highlights a strong emotional response from the community, with many users feeling that the new GPT-5 model does not adequately replace the unique qualities of GPT-4o. The topic is highly relevant as it touches on user safety, trust, and the value of model choice."
12,4,A,don t you just love how people,AMA Q&A Session,AMA Comments,User Comments and Responses,Moderation and Censorship Concerns,"Based on the evidence and sample comments, the cluster appears to be centered around user frustration with what they perceive as inadequate moderation and censorship. Users express concerns about ignored feedback, perceived censorship, and the handling of comments and responses during an AMA session. The topics and keywords consistently point towards issues related to moderation practices and user engagement."
13,4,B,sam jones ama,AMA Answers and Profile Comments,AMA Profiles & Comments,User Comments and Responses,Moderation and Censorship Concerns,"Based on the evidence and sample comments, the cluster appears to be centered around user frustration with what they perceive as inadequate moderation and censorship. Users express concerns about ignored feedback, perceived censorship, and the handling of comments and responses during an AMA session. The topics and keywords consistently point towards issues related to moderation practices and user engagement."
14,4,C,,Ignored feedback and perceived censorship,,Moderation Issues,Moderation and Censorship Concerns,"Based on the evidence and sample comments, the cluster appears to be centered around user frustration with what they perceive as inadequate moderation and censorship. Users express concerns about ignored feedback, perceived censorship, and the handling of comments and responses during an AMA session. The topics and keywords consistently point towards issues related to moderation practices and user engagement."
15,5,A,chatgpt32 kb,ChatGPT32k Context Window,ChatGPT Context Window Expansion,ChatGPT Context Window Expansion,ChatGPT Context Window Limitation Frustration,"The cluster is based on user frustration with the limited context window of ChatGPT, particularly the 32k limit for non-Pro plans. Users are unhappy with the current limitations and are comparing it to competitors like Google Gemini, which offers larger context windows. The users are requesting larger context windows, at least 128k or preferably 1 million tokens, to be able to use ChatGPT for serious text processing and coding tasks."
16,5,B,chatgpt uses32k of,ChatGPT Plus32k Context,ChatGPT32K Context Window,ChatGPT Context Window Expansion,ChatGPT Context Window Limitation Frustration,"The cluster is based on user frustration with the limited context window of ChatGPT, particularly the 32k limit for non-Pro plans. Users are unhappy with the current limitations and are comparing it to competitors like Google Gemini, which offers larger context windows. The users are requesting larger context windows, at least 128k or preferably 1 million tokens, to be able to use ChatGPT for serious text processing and coding tasks."
17,5,C,,Limited context window size,,Context Window Limitation Frustration,ChatGPT Context Window Limitation Frustration,"The cluster is based on user frustration with the limited context window of ChatGPT, particularly the 32k limit for non-Pro plans. Users are unhappy with the current limitations and are comparing it to competitors like Google Gemini, which offers larger context windows. The users are requesting larger context windows, at least 128k or preferably 1 million tokens, to be able to use ChatGPT for serious text processing and coding tasks."
18,6,A,don just want to chat gp,People Want GPT‑4o Chat Model,ChatGPT4o Feedback,ChatGPT User Experience and Opinions,"Users are upset about the discontinuation of GPT-4o and legacy models, seeking their return for their unique qualities like personality and companionship.","The cluster revolves around users expressing disappointment and frustration over the discontinuation of GPT-4o and other legacy models. They miss the personality, companionship, and specific functionalities these models provided. Users compare the new GPT-5 model unfavorably, citing its lack of warmth, empathy, and 'charm'. The comments reflect a strong desire for the return of these legacy models, with some users even considering switching to alternative AI services."
19,6,B,chatgpt is a free,ChatGPT as Professional Companion,Pro ChatGPT Experience,ChatGPT User Experience and Opinions,"Users are upset about the discontinuation of GPT-4o and legacy models, seeking their return for their unique qualities like personality and companionship.","The cluster revolves around users expressing disappointment and frustration over the discontinuation of GPT-4o and other legacy models. They miss the personality, companionship, and specific functionalities these models provided. Users compare the new GPT-5 model unfavorably, citing its lack of warmth, empathy, and 'charm'. The comments reflect a strong desire for the return of these legacy models, with some users even considering switching to alternative AI services."
20,6,C,,Missing legacy model options,,Loss of Preferred Model,"Users are upset about the discontinuation of GPT-4o and legacy models, seeking their return for their unique qualities like personality and companionship.","The cluster revolves around users expressing disappointment and frustration over the discontinuation of GPT-4o and other legacy models. They miss the personality, companionship, and specific functionalities these models provided. Users compare the new GPT-5 model unfavorably, citing its lack of warmth, empathy, and 'charm'. The comments reflect a strong desire for the return of these legacy models, with some users even considering switching to alternative AI services."
21,7,A,gpt4o users just,GPT‑4o Emotional Tone,GPT-4o Tone,GPT4o Emotional Tone User Experience,"Users are concerned about the removal of GPT-4o and its emotional tone, which provided a unique and valuable experience for those seeking emotional support and connection.","The cluster analysis reveals that users highly value the emotional intelligence and tone of GPT-4o, which was abruptly removed in favor of GPT-5. Users express a strong desire for the return of GPT-4o or the option to choose it, citing its irreplaceable emotional support and connection. The analysis underscores the importance of emotional resonance in AI interactions and the need for users to have choices that cater to their diverse emotional needs."
22,7,B,choosing the right gpt for,Choosing GPT‑4o for Emotional Support,Emotional GPT-4o Experience,GPT4o Emotional Tone User Experience,"Users are concerned about the removal of GPT-4o and its emotional tone, which provided a unique and valuable experience for those seeking emotional support and connection.","The cluster analysis reveals that users highly value the emotional intelligence and tone of GPT-4o, which was abruptly removed in favor of GPT-5. Users express a strong desire for the return of GPT-4o or the option to choose it, citing its irreplaceable emotional support and connection. The analysis underscores the importance of emotional resonance in AI interactions and the need for users to have choices that cater to their diverse emotional needs."
23,7,C,,Forced Model Switch Removes Empathy,,Loss of GPT-4o Option,"Users are concerned about the removal of GPT-4o and its emotional tone, which provided a unique and valuable experience for those seeking emotional support and connection.","The cluster analysis reveals that users highly value the emotional intelligence and tone of GPT-4o, which was abruptly removed in favor of GPT-5. Users express a strong desire for the return of GPT-4o or the option to choose it, citing its irreplaceable emotional support and connection. The analysis underscores the importance of emotional resonance in AI interactions and the need for users to have choices that cater to their diverse emotional needs."
24,8,A,gpt filtering for people,Sexual Content Filtering in ChatGPT,Harmful Sexual Content Filtering,Harmful Sexual Content Filtering,Overly Strict Content Censorship in ChatGPT,"The cluster is based on concerns about overly strict content censorship in ChatGPT, particularly regarding harmful sexual content. Users feel that the current filtering system is too sensitive and hinders legitimate use, such as learning about history or engaging in creative writing. There is a strong desire for more nuanced filtering that can distinguish between harmful content and legitimate discussions."
25,8,B,chatgpt flagged as harmful,ChatGPT Harmful Content Filtering,Adult Content Filtering,Harmful Sexual Content Filtering,Overly Strict Content Censorship in ChatGPT,"The cluster is based on concerns about overly strict content censorship in ChatGPT, particularly regarding harmful sexual content. Users feel that the current filtering system is too sensitive and hinders legitimate use, such as learning about history or engaging in creative writing. There is a strong desire for more nuanced filtering that can distinguish between harmful content and legitimate discussions."
26,8,C,,Excessive censorship hindering legitimate use,,Overly Strict Content Censorship,Overly Strict Content Censorship in ChatGPT,"The cluster is based on concerns about overly strict content censorship in ChatGPT, particularly regarding harmful sexual content. Users feel that the current filtering system is too sensitive and hinders legitimate use, such as learning about history or engaging in creative writing. There is a strong desire for more nuanced filtering that can distinguish between harmful content and legitimate discussions."
27,9,A,don't worry about the safety of,AI Safety and User Trust,AI Safety Concerns,AI Safety Concerns for Users,"Trust, Safety, and Ethics in AI Systems","The cluster revolves around concerns and discussions about AI safety, user trust, and ethical implications of AI systems, particularly focusing on OpenAI's approaches and user experiences."
28,9,B,openai samsung,OpenAI AI Safety & Trust,OpenAI User Trust,AI Safety Concerns for Users,"Trust, Safety, and Ethics in AI Systems","The cluster revolves around concerns and discussions about AI safety, user trust, and ethical implications of AI systems, particularly focusing on OpenAI's approaches and user experiences."
29,9,C,,Trust and transparency issues,,AI Safety and Ethics,"Trust, Safety, and Ethics in AI Systems","The cluster revolves around concerns and discussions about AI safety, user trust, and ethical implications of AI systems, particularly focusing on OpenAI's approaches and user experiences."
