evidence_set,model_name,topic_name,relevance_score,justification,cluster_id
C,Llama-4Maverick,Context Window Limitation Frustration,9,The topic is highly relevant as it directly mentions the frustration with the context window limitation.,5
C,GPT-OSS,Limited context window size,8,The topic is relevant as it discusses the limitation of the context window size.,5
A,TFIDF,"chatgpt, like,4o, just, chat, gpt, want, people, model, don",8,"The topic label is directly derived from the initial TF-IDF keywords, indicating a strong relevance to the user's desire for ChatGPT-4o and dissatisfaction with the current model.",6
A,Flan-T5,don just want to chat gp,7,"The topic label reflects a user's desire to chat with GPT, indicating a moderate relevance to the cluster theme of missing legacy models.",6
A,GPT-OSS,People Want GPT‑4o Chat Model,9,"The topic label directly mentions GPT-4o, indicating a high relevance to the cluster theme of users wanting the legacy GPT-4o model back.",6
A,Kimi-k2,ChatGPT4o Feedback,8,"The topic label is focused on feedback for ChatGPT4o, indicating a high relevance to the cluster theme.",6
A,Llama4 Maverick,ChatGPT User Experience and Opinions,8,"The topic label reflects user experiences and opinions, indicating a high relevance to the cluster theme.",6
B,BERTopic With Maximal Marginal Relevance,"chatgpt, models, use, gpt5, work, chat, feels like, pro, personality, friend",8,"The topic label includes keywords related to user experience and personality, indicating a high relevance to the cluster theme.",6
B,Flan-T5,chatgpt is a free,6,"The topic label mentions ChatGPT but lacks specificity, indicating a moderate relevance to the cluster theme.",6
B,GPT-OSS,ChatGPT as Professional Companion,9,"The topic label directly mentions ChatGPT as a companion, indicating a high relevance to the cluster theme of users wanting a legacy model with personality.",6
B,Kimi-k2,Pro ChatGPT Experience,8,"The topic label reflects a professional experience, indicating a high relevance to the cluster theme.",6
B,Llama4 Maverick,ChatGPT User Experience and Opinions,8,"The topic label reflects user experiences and opinions, indicating a high relevance to the cluster theme.",6
C,Llama-4Maverick,Loss of Preferred Model,9,"The topic label directly mentions the loss of a preferred model, indicating a high relevance to the cluster theme.",6
C,GPT-OSS,Missing legacy model options,9,"The topic label directly mentions missing legacy model options, indicating a high relevance to the cluster theme.",6
A,TFIDF,gpt4o users just,9,"The topic 'gpt4o users just' is highly relevant as it directly relates to user interactions with GPT-4o, indicating a strong connection between users and the model's capabilities.",7
A,Flan-T5,gpt4o users just,8,"The topic aligns with user queries about GPT-4o, showing its importance in user discussions.",7
A,GPT-OSS,GPT‑4o Emotional Tone,9,"The emotional tone of GPT-4o is a critical aspect of user experience, highlighting the model's ability to understand and respond to emotions.",7
A,Kimi-k2,GPT-4o Tone,8,"The topic emphasizes the tone of GPT-4o, which is vital for users seeking emotional support and connection.",7
A,Llama4 Maverick,GPT4o Emotional Tone User Experience,9,"This topic captures the essence of user experience with GPT-4o, focusing on emotional tone and interaction.",7
B,BERTopic With Maximal Marginal Relevance,choosing the right gpt for,8,"The topic 'choosing the right gpt for' indicates users' need to select appropriate GPT models, reflecting their concerns about model capabilities.",7
B,Flan-T5,choosing the right gpt for,7,"This topic shows users' interest in choosing GPT models that fit their needs, highlighting the importance of model selection.",7
B,GPT-OSS,Choosing GPT‑4o for Emotional Support,9,"The topic directly addresses users' needs for emotional support from GPT-4o, indicating a high level of relevance.",7
B,Kimi-k2,Emotional GPT-4o Experience,8,"This topic focuses on the emotional experience of using GPT-4o, which is crucial for users seeking emotional connection.",7
B,Llama4 Maverick,GPT4o Emotional Tone User Experience,9,"The topic emphasizes the emotional tone and user experience of GPT-4o, highlighting its significance in user interactions.",7
C,Llama-4Maverick,Loss of GPT-4o Option,9,"The topic 'Loss of GPT-4o Option' directly relates to user concerns about the removal of GPT-4o, indicating high relevance.",7
C,GPT-OSS,Forced Model Switch Removes Empathy,9,"This topic captures the essence of user frustration with the forced switch from GPT-4o to GPT-5, highlighting the loss of emotional connection.",7
A,Flan-T5,gpt filtering for people,8,"The topic is relevant as it directly relates to filtering content for people, which is a key concern in the evidence.",8
A,GPT-OSS,Sexual Content Filtering in ChatGPT,9,"This topic is highly relevant as it specifically mentions sexual content filtering in ChatGPT, aligning with the concerns about harmful content.",8
A,Kimi-k2,Harmful Sexual Content Filtering,9,"This topic is highly relevant as it directly addresses the filtering of harmful sexual content, a key issue in the evidence.",8
A,Llama4 Maverick,Harmful Sexual Content Filtering,9,"This topic is highly relevant as it also addresses the filtering of harmful sexual content, aligning with the evidence concerns.",8
B,Flan-T5,chatgpt flagged as harmful,8,"This topic is relevant as it discusses ChatGPT being flagged as harmful, which is a concern in the evidence.",8
B,GPT-OSS,ChatGPT Harmful Content Filtering,9,This topic is highly relevant as it directly addresses harmful content filtering in ChatGPT.,8
B,Kimi-k2,Adult Content Filtering,8,"This topic is relevant as it discusses filtering adult content, which is a concern in the evidence.",8
B,Llama4 Maverick,Harmful Sexual Content Filtering,9,"This topic is highly relevant as it addresses harmful sexual content filtering, a key concern.",8
C,Llama-4Maverick,Overly Strict Content Censorship,9,This topic is highly relevant as it directly addresses the issue of overly strict content censorship.,8
C,GPT-OSS,Excessive censorship hindering legitimate use,9,This topic is highly relevant as it discusses excessive censorship and its impact on legitimate use.,8
A,TFIDF,AI Safety and User Trust,8,"The topic 'AI Safety and User Trust' is highly relevant as it directly addresses concerns about AI safety and user trust, which are central themes in the evidence.",9
A,Flan-T5,don't worry about the safety of,6,The topic 'don't worry about the safety of' is relevant but less so than 'AI Safety and User Trust' as it seems to downplay safety concerns.,9
A,GPT-OSS,AI Safety and User Trust,9,The topic 'AI Safety and User Trust' is highly relevant with a high score due to its direct address of user concerns.,9
A,Kimi-k2,AI Safety Concerns,7,The topic 'AI Safety Concerns' is relevant as it addresses safety concerns but is less specific than 'AI Safety and User Trust'.,9
A,Llama4 Maverick,AI Safety Concerns for Users,8,The topic 'AI Safety Concerns for Users' is highly relevant as it directly addresses safety concerns for users.,9
B,BERTopic With Maximal Marginal Relevance,OpenAI AI Safety & Trust,9,The topic 'OpenAI AI Safety & Trust' is highly relevant as it directly addresses OpenAI's approach to AI safety and trust.,9
B,Flan-T5,openai samsung,4,"The topic 'openai samsung' seems less relevant as it introduces an unrelated company, Samsung.",9
B,GPT-OSS,OpenAI AI Safety & Trust,9,The topic 'OpenAI AI Safety & Trust' is highly relevant with a high score due to its direct address of OpenAI's approach to AI safety and trust.,9
B,Kimi-k2,OpenAI User Trust,8,The topic 'OpenAI User Trust' is highly relevant as it addresses user trust in OpenAI.,9
B,Llama4 Maverick,AI Safety Concerns for Users,8,The topic 'AI Safety Concerns for Users' is highly relevant as it directly addresses safety concerns for users.,9
C,Llama-4Maverick,AI Safety and Ethics,8,The topic 'AI Safety and Ethics' is highly relevant as it addresses both safety and ethical concerns.,9
C,GPT-OSS,Trust and transparency issues,9,The topic 'Trust and transparency issues' is highly relevant with a high score due to its direct address of user concerns about trust and transparency.,9
